,id,lon,lat,hora,fecha,date,foto,camara,tipo,id_municipio,puntos,municipio,fuente
1,1,-75.596,6.135,15:11,2017-07-06,2017-07-06 15:11:00,incendio-2017-07-06-15-11.jpeg,Sabaneta,i,,POINT (-75.596 6.135),Sabaneta,S
2,2,-75.625,6.223,17:01,2017-07-06,2017-07-06 17:01:00,incendio-2017-07-06-17-01.jpeg,Torre SIATA 360,i,,POINT (-75.625 6.223),Medellin occidente,S
3,3,-75.618,6.232,17:12,2017-07-06,2017-07-06 17:12:00,incendio-2017-07-06-17-12.jpeg,Torre SIATA 360,i,,POINT (-75.618 6.232),Medellin occidente,S
